Title,Price
"OCOOPA Magnetic Hand Warmers Rechargeable 2 Pack, Electric Handwarmers, Smart Heating UL Certified, 3-Settings,Portable Heater, Ultra Slim Pocket, Hunting Essentials, Gifts for Christmas Men, UT3 Lite","15.99$"
"Candle Warmer Lamp with Timer Dimmable, Birthday Gifts for Women Mom, House Warming Gifts New Home Decor, Wax Melt Warmer for Jar Candles with 2 Bulbs","20.79$"
"TEHOOK Warm & Cozy Gifts for Women, Stocking Stuufers, Fluffy Fuzzy Plush Sleeping Slipper Socks - Soft Warm Fabric","8.49$"
"RENPHO Electric Heating Pad for Back, Birthday Christmas Gifts for Women Men Mom Dad Elderly, FSA Eligible Items Only List, Large Heat Pad for Neck Shoulders, 24""x33"", ETL Certified, Gray","37.99$"
"LEGO Botanicals Happy Plants Building Toys - Bedroom or Dorm Room Decor for Girls, Boys, & Adults, Desk or Shelf Display - Stocking Stuffers & Gift for Christmas - 10349","18.39$"
"Stanley IceFlow Flip Straw Tumbler with Handle | Twist On Lid and Flip Up Straw | Leak Resistant Water Bottle | Insulated Stainless Steel | BPA-Free","26.25$"
"Crock-Pot 20-Ounce Electric Lunch Box, Portable Food Warmer, Faded Blue, Perfect for Travel, Car, On-the-Go, Keeps Food Warm, Spill-Free, Dishwasher-Safe, Ideal Gift for Men and Women","29.99$"
"Laneige Skincare & Lip Care Holiday Gift Sets – Lip Mask, Water Bank, Lip Glowy Balm – Beauty Essentials for Gifting & Self-Care","14.70$"
"Urban Accents Movie Night Popcorn Gift Set – Includes 3 Gourmet Popcorn Kernel Varieties & 5 Flavorful Seasonings – Perfect Snack Gift Box for Parties, Holidays, or Movie Lovers","21.95$"
"Bedsure GentleSoft White Throw Blanket for Couch - Cozy Blanket for Women, Cute Fleece Throw for Girls, Christmas Birthday Gifts for Women Men Teen, Room Home Boho Fall Decor, Off White, 50x60 Inches","11.72$"
"Amazon Basics Vibrant Fabric Markers, Assorted Colors, 8-Pack","5.36$"
"Movie and TV Crossword Puzzles: Hollywood, Actors, Shows, & Series. Trivia, Facts, and Fun Activity.","14.99$"
"The Ultimate Book of Facts About Everything: Science, Animals, History, World Records, Inventions, Sports, Pop Culture, Technology, Space, Language, and More!","12.79$"
"Learn A Lot While You Sit On The Pot: Fascinating Trivia and Fun Facts About Science, History, Sports, Pop Culture, Technology, Mind Puzzles, and So Much More!","11.26$"
"JBL Go 3 - Portable Mini Bluetooth Speaker, big audio and punchy bass, IP67 waterproof and dustproof, 5 hours of playtime, speaker for home, outdoor and travel (Black)","29.95$"
"Nostalgia Tabletop Indoor Electric S'mores Maker - Smores Kit With Marshmallow Roasting Sticks and 4 Trays for Graham Crackers, Chocolate, and Marshmallows - Movie Night Supplies - Brown","23.99$"
"AERLANG Shiatsu Back and Neck Massager, Back Massager Deep Tissue Kneading Neck and Shoulder Massage with Heat, Electric Massage Pillow Fathers Day Gift Ideas from Daughter Son(NOT Cordless)","25.99$"
"Buddha Board – The Original Water Painting Board for Mindfulness & Creativity – Unique Gift for Artists, Adults & Kids – Mess-Free Zen Art Supplies","27.96$"
"Rare and Unusual Knowledge: Extraordinary Facts About Everyday Things (Facts and Knowledge)","14.99$"
"50 States, 5,000 Ideas: Where to Go, When to Go, What to See, What to Do","12.21$"
"How To Survive A Freakin’ Bear Attack: And 127 Other Survival Hacks You'll Hopefully Never Need","10.65$"
"Baby Boomer Crossword Puzzles: 1950s, 1960s, 1970s, 1980s - Music, TV, Movies, Sports and People","14.99$"
"The Book of Unusual Knowledge: Big Book of Fascinating Facts & Information | Hardcover Gift for Trivia Buffs, Curious Minds, Adults, Dad & Knowledge Seekers","10.00$"
"Luna Bean Hand Casting Kit – The Original Hand Mold Kit for Couples – Christmas Gifts for Women, Bridal Shower, Wedding, Engagement Gifts Her Him Anniversary Men Mom Wife Husband Boyfriend Girlfriend","28.40$"
"Laser Tag Set of 2, Lazer Tag Game for Kids Indoor & Outdoor Play, Gift Ideas for Kids Teens and Adults, Cool Toys for Teenage Ages 8 9 10 11 12+Year Old Boy & Girls","25.40$"
"LEGO Botanicals Mini Orchid Building Set - Artificial, Fake Orchid for Home Decor, Adults Ages 18+ - Gift for Birthdays - Indoor Plant Decorations for Table, Desk, Office - 10343","23.95$"
"The Book For Men Who Have Everything: Unusual Knowledge and Boredom Busters for Intelligent Men","13.79$"
